i,Error,Error_model,columns,parameter
15,0.6751822412436014,0.7402359276898891,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 50, 'classifier__min_samples_split': 12}"
16,0.6827034854657487,0.7887516224833233,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 250, 'classifier__min_samples_split': 12}"
17,0.7400564305694759,0.7046977213584944,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'friedman_mse', 'classifier__max_depth': 200, 'classifier__min_samples_split': 12}"
18,0.645212010735995,0.7776066873952476,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 50, 'classifier__min_samples_split': 12}"
19,0.6184180793449917,0.7892775395225456,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'GarageCars', 'GarageArea', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 15, 'classifier__min_samples_split': 12}"
20,0.6822089867793677,0.7353843728839479,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'Fireplaces', 'GarageCars', 'GarageArea', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 20, 'classifier__min_samples_split': 12}"
21,0.7553010426694424,0.6950599731861842,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'Fireplaces', 'GarageCars', 'GarageArea', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'BsmtFinType1_GLQ', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 20, 'classifier__min_samples_split': 3}"
22,0.6283361215254213,0.7914855600795729,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'Fireplaces', 'GarageCars', 'GarageArea', 'ExterQual_Ex', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'BsmtFinType1_GLQ', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 250, 'classifier__min_samples_split': 12}"
23,0.6934999069503034,0.7805968185688583,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'Fireplaces', 'GarageCars', 'GarageArea', 'ExterQual_Ex', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'BsmtFinType1_GLQ', 'HeatingQC_Ex', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 250, 'classifier__min_samples_split': 12}"
24,0.7060512586784228,0.7352645435783379,"['OverallQual', 'YearBuilt', 'YearRemodAdd', 'MasVnrArea', 'TotalBsmtSF', '1stFlrSF', 'GrLivArea', 'FullBath', 'TotRmsAbvGrd', 'Fireplaces', 'GarageCars', 'GarageArea', 'ExterQual_Ex', 'ExterQual_Gd', 'ExterQual_TA', 'Foundation_PConc', 'BsmtQual_Ex', 'BsmtQual_TA', 'BsmtFinType1_GLQ', 'HeatingQC_Ex', 'KitchenQual_Ex', 'KitchenQual_TA', 'GarageFinish_Fin', 'GarageFinish_Unf']","{'classifier__criterion': 'squared_error', 'classifier__max_depth': 250, 'classifier__min_samples_split': 12}"
